기준_년_분기_코드,상권_코드,상권_변화_지표,상권_변화_지표_명,운영_영업_개월_평균,폐업_영업_개월_평균,서울_운영_영업_개월_평균,서울_폐업_영업_개월_평균
2018_4,1001005,HL,상권축소,117,47,102,51
2018_4,1001004,LL,다이나믹,91,45,102,51
2018_4,1001003,LL,다이나믹,82,43,102,51
2018_4,1001002,LL,다이나믹,99,43,102,51
2018_4,1001001,LH,상권확장,89,51,102,51
2018_4,1001000,LL,다이나믹,92,43,102,51
2018_4,1000999,LL,다이나믹,91,50,102,51
2018_4,1000998,LL,다이나믹,95,45,102,51
2018_4,1000997,HL,상권축소,118,51,102,51
2018_4,1000996,HH,정체,128,51,102,51
2018_4,1000995,HH,정체,116,53,102,51
2018_4,1000994,LL,다이나믹,84,48,102,51
2018_4,1000993,LL,다이나믹,92,49,102,51
2018_4,1000992,HL,상권축소,113,48,102,51
2018_4,1000991,HL,상권축소,113,45,102,51
2018_4,1000990,LL,다이나믹,101,44,102,51
2018_4,1000989,HL,상권축소,104,48,102,51
2018_4,1000988,LL,다이나믹,80,43,102,51
2018_4,1000987,LL,다이나믹,75,43,102,51
2018_4,1000986,LL,다이나믹,101,41,102,51
2018_4,1000985,LL,다이나믹,98,46,102,51
2018_4,1000984,HL,상권축소,107,49,102,51
2018_4,1000983,HL,상권축소,104,48,102,51
2018_4,1000982,LL,다이나믹,91,50,102,51
2018_4,1000981,HH,정체,112,52,102,51
2018_4,1000980,LL,다이나믹,89,46,102,51
2018_4,1000979,LL,다이나믹,89,46,102,51
2018_4,1000978,LL,다이나믹,98,44,102,51
2018_4,1000977,LL,다이나믹,100,50,102,51
2018_4,1000976,LH,상권확장,93,52,102,51
2018_4,1000975,HH,정체,120,56,102,51
2018_4,1000974,LL,다이나믹,101,47,102,51
2018_4,1000973,HH,정체,121,56,102,51
2018_4,1000972,LL,다이나믹,89,45,102,51
2018_4,1000971,LH,상권확장,91,51,102,51
2018_4,1000970,LL,다이나믹,94,47,102,51
2018_4,1000969,HH,정체,124,55,102,51
2018_4,1000968,LL,다이나믹,93,50,102,51
2018_4,1000967,LL,다이나믹,95,47,102,51
2018_4,1000966,HH,정체,126,52,102,51
2018_4,1000965,LL,다이나믹,101,50,102,51
2018_4,1000964,LL,다이나믹,97,43,102,51
2018_4,1000963,LL,다이나믹,99,49,102,51
2018_4,1000962,HL,상권축소,102,49,102,51
2018_4,1000961,LL,다이나믹,90,50,102,51
2018_4,1000960,LL,다이나믹,102,46,102,51
2018_4,1000959,LL,다이나믹,92,45,102,51
2018_4,1000958,LL,다이나믹,81,44,102,51
2018_4,1000957,LL,다이나믹,94,45,102,51
2018_4,1000956,LL,다이나믹,92,48,102,51
2018_4,1000955,LL,다이나믹,94,46,102,51
2018_4,1000954,LL,다이나믹,98,46,102,51
2018_4,1000953,HL,상권축소,104,49,102,51
2018_4,1000952,HL,상권축소,105,49,102,51
2018_4,1000951,LL,다이나믹,87,45,102,51
2018_4,1000950,LL,다이나믹,87,45,102,51
2018_4,1000949,LL,다이나믹,90,50,102,51
2018_4,1000948,LL,다이나믹,98,48,102,51
2018_4,1000947,LL,다이나믹,74,45,102,51
2018_4,1000946,LL,다이나믹,102,49,102,51
2018_4,1000945,LL,다이나믹,100,48,102,51
2018_4,1000944,LL,다이나믹,97,48,102,51
2018_4,1000943,LL,다이나믹,90,42,102,51
2018_4,1000942,HL,상권축소,119,51,102,51
2018_4,1000941,LL,다이나믹,94,50,102,51
2018_4,1000940,HH,정체,108,55,102,51
2018_4,1000939,LH,상권확장,94,52,102,51
2018_4,1000938,LL,다이나믹,80,47,102,51
2018_4,1000937,LL,다이나믹,99,50,102,51
2018_4,1000936,LL,다이나믹,80,48,102,51
2018_4,1000935,LL,다이나믹,86,49,102,51
2018_4,1000934,LL,다이나믹,93,50,102,51
2018_4,1000933,HH,정체,110,52,102,51
2018_4,1000932,LL,다이나믹,92,49,102,51
2018_4,1000931,HH,정체,112,55,102,51
2018_4,1000930,LL,다이나믹,81,45,102,51
2018_4,1000929,LL,다이나믹,87,36,102,51
2018_4,1000928,HH,정체,114,58,102,51
2018_4,1000927,LL,다이나믹,73,43,102,51
2018_4,1000926,LL,다이나믹,76,46,102,51
2018_4,1000925,LH,상권확장,92,53,102,51
2018_4,1000924,LL,다이나믹,91,45,102,51
2018_4,1000923,LL,다이나믹,84,41,102,51
2018_4,1000922,LL,다이나믹,81,45,102,51
2018_4,1000921,LL,다이나믹,102,45,102,51
2018_4,1000920,LL,다이나믹,85,44,102,51
2018_4,1000919,LL,다이나믹,90,50,102,51
2018_4,1000918,LL,다이나믹,85,50,102,51
2018_4,1000917,LL,다이나믹,89,50,102,51
2018_4,1000916,LL,다이나믹,92,42,102,51
2018_4,1000915,LL,다이나믹,92,40,102,51
2018_4,1000914,LL,다이나믹,90,48,102,51
2018_4,1000913,LL,다이나믹,84,46,102,51
2018_4,1000912,LH,상권확장,88,51,102,51
2018_4,1000911,LL,다이나믹,76,46,102,51
2018_4,1000910,LL,다이나믹,83,48,102,51
2018_4,1000909,LH,상권확장,81,52,102,51
2018_4,1000908,LL,다이나믹,79,43,102,51
2018_4,1000907,LL,다이나믹,92,48,102,51
2018_4,1000906,LL,다이나믹,79,49,102,51
2018_4,1000905,LL,다이나믹,69,43,102,51
2018_4,1000904,LL,다이나믹,93,45,102,51
2018_4,1000903,HL,상권축소,116,46,102,51
2018_4,1000902,LL,다이나믹,97,48,102,51
2018_4,1000901,LL,다이나믹,93,49,102,51
2018_4,1000900,LL,다이나믹,102,49,102,51
2018_4,1000899,LL,다이나믹,86,45,102,51
2018_4,1000898,LH,상권확장,82,53,102,51
2018_4,1000897,LL,다이나믹,84,43,102,51
2018_4,1000896,LL,다이나믹,87,49,102,51
2018_4,1000895,LL,다이나믹,97,46,102,51
2018_4,1000894,LL,다이나믹,93,43,102,51
2018_4,1000893,LL,다이나믹,90,49,102,51
2018_4,1000892,HL,상권축소,116,50,102,51
2018_4,1000891,HL,상권축소,107,49,102,51
