기준_년_분기_코드,상권_코드,집객시설_수,관공서_수,은행_수,종합병원_수,일반_병원_수,약국_수,유치원_수,초등학교_수,중학교_수,고등학교_수,대학교_수,백화점_수,슈퍼마켓_수,극장_수,숙박_시설_수,공항_수,철도_역_수,버스_터미널_수,지하철_역_수,버스_정거장_수
2019_2,1000085,86,5,4,,,4,1,1,,1,,,,1,4,,,,,31
2019_2,1000084,111,16,10,6,1,8,,,,,,,2,,8,,,,,17
2019_2,1000133,147,7,3,,,18,2,1,,,,,1,,5,,,,,29
2019_2,1000029,63,3,3,,,7,,,,,,,,,7,,,,,10
2019_2,1000127,132,4,5,,,10,,1,,,,,,1,24,,,,,15
2019_2,1000044,165,6,5,,,7,3,2,,1,,,,6,43,,,,1,12
2019_2,1000004,68,3,,,,5,,,,2,7,,2,4,8,,,,,25
2019_2,1000003,308,4,13,,,9,1,2,,1,,,,35,50,,,,2,39
2019_2,1000077,136,8,8,,,14,1,1,,,,,,1,14,,,,2,17
2019_2,1000040,249,12,13,2,1,13,1,1,,,2,,,14,46,,,,1,19
2019_2,1000069,48,2,3,,,7,,,,,,,,2,1,,,,1,13
2019_2,1000125,79,3,2,,,6,3,2,1,,,,1,,1,,,,2,15
2019_2,1000140,98,2,2,,,10,3,1,1,,,,1,2,5,,,,1,14
2019_2,1000060,74,4,,,,4,,1,2,2,,,,4,2,,,,,29
2019_2,1000189,95,5,3,,1,9,1,1,2,,,,,,2,,,,2,26
2019_2,1000117,145,6,5,,,16,2,3,1,1,,,2,,7,,,,1,19
2019_2,1000057,123,5,3,,,7,1,1,1,1,5,,1,,11,,,,1,33
2019_2,1000076,92,5,5,,1,11,,,2,2,,,1,2,9,,,,2,20
2019_2,1000036,154,7,5,,1,16,2,,2,1,,,,7,9,,,,2,15
2019_2,1000074,139,5,4,,,11,1,1,,,12,,,,31,,,,2,21
2019_2,1000157,133,1,5,,1,16,1,1,,,,,2,,5,,,,1,19
2019_2,1000102,119,3,2,5,1,9,2,2,2,1,36,,,1,20,,,,1,18
2019_2,1000631,116,1,11,,,12,1,1,,1,,,,,7,,,,2,18
2019_2,1000223,120,2,2,,,12,2,1,,,,,1,,7,,,,1,17
2019_2,1000614,150,2,4,,1,11,1,1,2,1,,,2,,8,,,,1,37
2019_2,1000600,101,4,1,,,4,3,2,,,4,,2,1,1,,,,,18
2019_2,1000632,164,4,5,,,18,3,1,,1,,,,,11,,,,1,17
2019_2,1000562,126,2,2,1,2,14,3,2,3,7,,,2,,5,,,,1,17
2019_2,1000380,199,5,8,,,19,2,1,,,17,,2,,16,,,,1,33
2019_2,1000502,102,7,2,,1,12,2,3,,,,,,,3,,,,1,19
2019_2,1000529,106,5,4,1,,16,1,1,1,1,,,,,7,,,,,13
2019_2,1000572,89,1,,,,9,4,1,1,2,,,1,,1,,,,,35
2019_2,1000639,116,1,3,,2,11,3,,,,,,1,,9,,,,1,18
2019_2,1000489,84,1,1,,,10,3,2,,,1,,,,7,,,,1,17
2019_2,1000551,86,5,3,,1,8,2,1,3,3,,,,,4,,,,,21
2019_2,1000550,56,2,1,,1,4,4,2,2,3,,,,,2,,,,,15
2019_2,1000514,73,5,,,,6,1,1,1,,,,,1,2,,,,,10
2019_2,1000513,81,3,2,,1,9,,,2,1,,,,,2,,,,,10
2019_2,1000232,117,3,4,,1,11,3,2,1,,,,1,,1,,,,,22
2019_2,1000570,68,2,,,,5,1,1,,,,,,,3,,,,,23
2019_2,1000330,129,3,3,,,14,1,2,1,1,,,2,,,,,,,27
2019_2,1000643,151,7,11,,3,13,,1,,,,,,,25,,,,,30
2019_2,1000454,167,5,5,1,2,18,3,2,,,1,,2,,5,,,,1,23
2019_2,1000446,106,4,3,,,14,1,1,,,,,2,1,3,,,,1,17
2019_2,1000445,176,2,8,11,4,10,1,,,,37,,1,1,30,,,,,34
2019_2,1000438,160,2,5,,1,25,2,,,,,,3,,2,,,,1,33
2019_2,1000429,191,8,2,,4,18,1,1,,,,,1,1,6,,,,2,34
2019_2,1000431,141,2,6,,1,18,1,1,,2,,,,,2,,,,1,18
2019_2,1000342,232,5,5,,2,17,,,,,1,,,,17,,,,1,29
