기준_년_분기_코드,상권_코드,아파트_단지_수,아파트_면적_66_제곱미터_미만_세대_수,아파트_면적_66_제곱미터_세대_수,아파트_면적_99_제곱미터_세대_수,아파트_면적_132_제곱미터_세대_수,아파트_면적_165_제곱미터_세대_수,아파트_가격_1_억_미만_세대_수,아파트_가격_1_억_세대_수,아파트_가격_2_억_세대_수,아파트_가격_3_억_세대_수,아파트_가격_4_억_세대_수,아파트_가격_5_억_세대_수,아파트_가격_6_억_이상_세대_수,아파트_평균_면적,아파트_평균_시가
2019_2,1000672,108,1213,879,32,8,12,461,1068,589,22,4,0,0,65,144992564
2019_2,1000673,106,2471,1797,209,360,12,617,1443,2332,453,4,0,0,67,162634246
2019_2,1000674,206,3081,1859,37,4,7,907,2913,1149,19,0,0,0,58,134918610
2019_2,1000675,90,2696,1934,210,360,16,532,1058,3180,442,4,0,0,73,175301508
2019_2,1000676,177,2808,1132,49,6,0,446,3503,40,6,0,0,0,60,132529850
2019_2,1000677,148,2171,1242,37,0,0,350,2740,128,232,0,0,0,61,134881243
2019_2,1000678,138,2405,538,2,0,0,959,1894,92,0,0,0,0,53,113080990
2019_2,1000946,699,9471,2020,293,38,2,2084,6775,2161,748,53,3,0,50,167078650
2019_2,1000947,654,9472,1796,427,407,6,2265,6320,1856,636,228,37,766,49,172820790
2019_2,1000948,697,9535,2120,257,54,0,2017,6774,2536,552,78,9,0,51,169288638
2019_2,1000949,470,6547,1589,177,21,6,1388,4129,1602,591,614,12,4,50,180452564
2019_2,1000950,391,4818,1335,574,254,2,918,3070,1676,502,301,336,180,52,187299414
2019_2,1000951,587,7644,1701,197,221,214,1546,4926,2267,551,273,8,406,51,177578507
2019_2,1000952,465,5468,2737,1751,477,58,894,3655,1845,636,1349,1356,756,54,195104843
2019_2,1000953,553,6380,2350,257,122,166,903,4255,2754,785,367,16,195,57,195055248
2019_2,1000954,651,11271,5897,342,21,2,2088,6161,1787,568,605,1154,5170,48,198456015
2019_2,1000955,263,6340,3629,216,108,198,766,2418,1165,3547,2291,262,42,54,195365926
2019_2,1000956,354,4792,3050,1224,792,168,1070,2793,1289,1236,1054,1184,1400,56,207949542
2019_2,1000957,256,3644,1910,121,5,0,709,1910,904,1302,854,1,0,52,189395807
2019_2,1000958,123,3322,1954,925,269,210,288,1440,603,1919,1487,693,250,62,234935758
2019_2,1000959,110,2656,2394,855,191,74,251,900,720,2159,1353,539,248,64,243096085
2019_2,1000960,156,2566,2656,423,78,174,259,1261,710,1550,1570,543,4,63,225946675
2019_2,1000961,114,846,2785,2039,435,146,133,613,479,178,2036,1408,1404,85,349742118
2019_2,1000962,137,884,3615,3647,515,116,127,623,481,176,1576,2620,3174,83,411215565
2019_2,1000963,487,6844,1594,535,165,134,1189,4170,1952,622,303,451,585,53,186228796
2019_2,1000964,171,2080,1957,1045,48,387,313,1088,588,580,1421,881,646,66,237943318
