기준_년_분기_코드,상권_코드,총_직장_인구_수,남성_직장_인구_수,여성_직장_인구_수,연령대_10_직장_인구_수,연령대_20_직장_인구_수,연령대_30_직장_인구_수,연령대_40_직장_인구_수,연령대_50_직장_인구_수,연령대_60_이상_직장_인구_수,남성연령대_10_직장_인구_수,남성연령대_20_직장_인구_수,남성연령대_30_직장_인구_수,남성연령대_40_직장_인구_수,남성연령대_50_직장_인구_수,남성연령대_60_이상_직장_인구_수,여성연령대_10_직장_인구_수,여성연령대_20_직장_인구_수,여성연령대_30_직장_인구_수,여성연령대_40_직장_인구_수,여성연령대_50_직장_인구_수,여성연령대_60_이상_직장_인구_수
2019_2,1001297,62,36,26,0,6,7,16,17,16,0,3,3,6,13,11,0,3,4,10,4,5
2019_2,1001296,31,12,19,0,3,7,7,4,10,0,1,1,4,2,4,0,2,6,3,2,6
2019_2,1001295,342,155,187,1,44,64,102,82,49,1,14,24,47,39,30,0,30,40,55,43,19
2019_2,1001294,615,416,199,0,53,122,175,150,115,0,42,80,121,98,75,0,11,42,54,52,40
2019_2,1001293,14,6,8,0,0,0,4,5,5,0,0,0,0,2,4,0,0,0,4,3,1
2019_2,1001292,3,2,1,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1
2019_2,1001291,50,30,20,0,22,14,5,7,2,0,15,7,4,3,1,0,7,7,1,4,1
2019_2,1001290,100,71,29,0,8,16,23,26,27,0,5,9,11,21,25,0,3,7,12,5,2
2019_2,1001289,25,9,16,0,2,2,7,12,2,0,0,1,1,6,1,0,2,1,6,6,1
2019_2,1001288,15,12,3,0,0,2,1,7,5,0,0,1,1,6,4,0,0,1,0,1,1
2019_2,1001287,7,4,3,1,0,2,1,2,1,1,0,1,1,0,1,0,0,1,0,2,0
2019_2,1001286,22,20,2,0,2,2,3,3,12,0,2,2,1,3,12,0,0,0,2,0,0
2019_2,1001285,715,487,228,1,83,262,205,155,9,0,23,138,168,150,8,1,60,124,37,5,1
2019_2,1001284,497,345,152,0,104,160,102,70,61,0,80,115,55,46,49,0,24,45,47,24,12
2019_2,1001283,102,52,50,0,13,16,31,24,18,0,5,8,15,13,11,0,8,8,16,11,7
2019_2,1001282,288,129,159,1,50,55,71,57,54,1,12,11,34,33,38,0,38,44,37,24,16
2019_2,1001281,117,45,72,0,16,40,42,14,5,0,8,21,9,5,2,0,8,19,33,9,3
2019_2,1001280,66,37,29,0,10,20,20,12,4,0,4,13,10,7,3,0,6,7,10,5,1
2019_2,1001279,216,148,68,0,24,60,42,57,33,0,12,43,27,38,28,0,12,17,15,19,5
2019_2,1001278,3,2,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
2019_2,1001277,1245,767,478,2,106,235,291,320,291,0,59,141,158,196,213,2,47,94,133,124,78
2019_2,1001276,1433,1006,427,6,168,476,470,236,77,0,73,290,388,195,60,6,95,186,82,41,17
2019_2,1001275,180,126,54,0,3,23,57,54,43,0,3,14,42,37,30,0,0,9,15,17,13
2019_2,1001274,3125,1030,2095,4,1745,623,302,231,220,1,313,205,210,146,155,3,1432,418,92,85,65
2019_2,1001273,6883,2898,3985,4,1122,2297,1842,1257,361,2,302,977,915,469,233,2,820,1320,927,788,128
2019_2,1001272,35,25,10,0,0,11,10,6,8,0,0,10,6,4,5,0,0,1,4,2,3
2019_2,1001271,554,263,291,4,134,138,107,108,63,3,37,49,61,66,47,1,97,89,46,42,16
2019_2,1001270,18,9,9,0,0,2,5,8,3,0,0,2,2,3,2,0,0,0,3,5,1
2019_2,1001269,10,6,4,0,0,1,3,5,1,0,0,1,1,3,1,0,0,0,2,2,0
2019_2,1001268,53,30,23,0,8,12,14,13,6,0,4,9,7,6,4,0,4,3,7,7,2
2019_2,1001267,180,102,78,1,15,26,46,44,48,1,12,17,18,22,32,0,3,9,28,22,16
2019_2,1001266,1459,1062,397,2,153,362,395,389,158,1,115,274,272,277,123,1,38,88,123,112,35
2019_2,1001265,395,276,119,0,25,63,97,119,91,0,14,35,72,79,76,0,11,28,25,40,15
2019_2,1001264,72,32,40,0,3,22,14,16,17,0,1,7,6,8,10,0,2,15,8,8,7
2019_2,1001263,485,181,304,2,115,71,102,101,94,0,25,30,42,37,47,2,90,41,60,64,47
2019_2,1001262,297,130,167,2,52,47,63,59,74,1,11,24,33,26,35,1,41,23,30,33,39
2019_2,1001261,401,96,305,2,113,95,94,50,47,0,15,17,26,21,17,2,98,78,68,29,30
