기준_년_분기_코드,상권_코드,남성_유동인구_수,여성_유동인구_수,주중_유동인구_수,주말_유동인구_수,남성_상주인구_수,여성_상주인구_수,남성_직장_인구_수,여성_직장_인구_수
2019_2,1001286,14871,12379,19809,7440,148.0,137.0,20.0,2.0
2019_2,1001287,9779,9929,13385,6323,54.0,43.0,4.0,3.0
2019_2,1001288,8255,8248,12143,4360,19.0,13.0,12.0,3.0
2019_2,1001289,81770,65579,107517,39830,239.0,227.0,9.0,16.0
2019_2,1001127,513846,350337,743427,120755,655.0,704.0,13276.0,7720.0
2019_2,1001128,56265,74496,101615,29148,114.0,141.0,192.0,311.0
2019_2,1001129,53653,54891,85389,23155,181.0,192.0,711.0,639.0
2019_2,1001179,456852,363930,568875,251905,1456.0,1498.0,2630.0,1705.0
2019_2,1001180,868465,1112829,1409332,571970,607.0,568.0,329.0,520.0
2019_2,1001181,224506,208943,314432,119014,794.0,946.0,433.0,293.0
2019_2,1001229,41447,30304,57556,14193,171.0,119.0,937.0,367.0
2019_2,1001230,310581,264603,428701,146487,410.0,359.0,15160.0,10612.0
2019_2,1001231,285460,204387,379479,110367,256.0,162.0,1150.0,3237.0
2019_2,1001279,139227,166922,256887,49262,24.0,30.0,148.0,68.0
2019_2,1001281,32685,37036,59017,10704,1.0,0.0,45.0,72.0
2019_2,1001130,63710,65038,98030,30716,101.0,112.0,3449.0,1952.0
2019_2,1001131,148835,143429,217536,74731,495.0,565.0,3343.0,1011.0
2019_2,1001132,34520,25449,46541,13428,283.0,235.0,1042.0,605.0
2019_2,1001133,42610,46044,67864,20792,426.0,496.0,2097.0,936.0
2019_2,1001182,3406815,3972486,4705209,2674096,2278.0,2497.0,5912.0,4452.0
2019_2,1001183,153818,160707,232898,81628,246.0,258.0,599.0,1086.0
2019_2,1001184,386940,512172,635966,263145,88.0,103.0,348.0,529.0
2019_2,1001232,887761,660185,1099734,448209,1543.0,708.0,446.0,463.0
2019_2,1001233,145240,112420,196452,61206,118.0,29.0,595.0,613.0
